SECTION,"Effectiveness and outlet IAT vs core face velocity (CSF 8067, 610x300x75)"
face_velocity_ms,road_speed_mph_approx,effectiveness,outlet_IAT_C,outlet_IAT_F
2,15.0,0.5061,105.1,221.0
3,22.0,0.5925,92.3,198.0
4,30.0,0.6522,83.5,182.0
5,37.0,0.6967,76.9,170.0
6,45.0,0.7316,71.7,161.0
8,60.0,0.7834,64.0,147.0
10,75.0,0.8203,58.6,137.0
12,89.0,0.848,54.5,130.0
14,104.0,0.8697,51.3,124.0
16,119.0,0.887,48.7,120.0
18,134.0,0.9012,46.6,116.0
20,149.0,0.913,44.9,113.0
22,164.0,0.9229,43.4,110.0
25,186.0,0.935,41.6,107.0
28,209.0,0.9448,40.2,104.0
30,224.0,0.9502,39.4,103.0

SECTION,"Outlet IAT vs core volume (300 mm high, 75 mm thick, 12 m/s face)"
core_width_mm,core_volume_L,effectiveness,outlet_IAT_C,outlet_IAT_F,note
350,7.88,0.682,79.0,174.0,
400,9.0,0.7248,72.7,163.0,
450,10.12,0.7614,67.3,153.0,
500,11.25,0.7929,62.6,145.0,
550,12.38,0.8201,58.6,137.0,
610,13.72,0.848,54.5,130.0,RECOMMENDED - CSF 8067
650,14.62,0.8641,52.1,126.0,
700,15.75,0.8819,49.5,121.0,

SECTION,Charge pipe velocity at design point (45.7 lb/min)
pipe_OD_in,hot_ms,hot_fts,cold_ms,cold_fts,volume_L_per_m,verdict
2.0,80.8,265.0,60.2,197.0,2.027,Garrett band
2.25,63.8,209.0,47.5,156.0,2.565,Garrett band
2.5,51.7,170.0,38.5,126.0,3.167,RECOMMENDED - Good street compromise
2.75,42.7,140.0,31.8,104.0,3.832,Good street compromise
3.0,35.9,118.0,26.7,88.0,4.56,Oversized
3.25,30.6,100.0,22.8,75.0,5.352,Oversized

SECTION,Off-design operating points (eps = 0.85)
condition,boost_psi,rpm,ambient_C,mass_flow_lbmin,PR,compressor_out_C,IC_outlet_C,IC_outlet_F,heat_kW
street cruise-to-pass,15,5000,25,24.9,2.17,122.0,40.0,103.0,15.6
DESIGN POINT,25,7000,32,46.0,2.92,180.0,54.0,130.0,43.9
worst case hot day,28,7500,35,52.6,3.15,201.0,60.0,140.0,56.5
cool day track,22,6500,15,41.6,2.7,139.0,34.0,93.0,33.4

SECTION,Thermal mass / heat soak
core,volume_L,mass_kg,thermal_capacity_kJ_per_K,time_constant_s_low_airflow
CSF 8067 bar&plate 610x300x75,13.72,28.1,25.32,28.8
CSF 8047 bar&plate 560x300x90,15.12,31.0,27.9,31.7
tube&fin equivalent 610x300x75,13.72,18.5,16.68,15.7
small OEM-size core,6.0,9.0,8.1,17.2

SECTION,FPI trade-off (normalised to 16 FPI = 1.0)
FPI,heat_transfer_rel,air_side_dP_rel,Q_per_dP,note
10,0.772,0.61,1.265,
12,0.854,0.739,1.155,Q/dP peak
14,0.929,0.869,1.069,RECOMMENDED BAND
16,1.0,1.0,1.0,RECOMMENDED BAND
18,1.067,1.132,0.943,
20,1.131,1.264,0.894,
22,1.191,1.397,0.853,
24,1.25,1.531,0.816,
