turbo,AUC_25psi_HPkRPM,AUC_30psi_HPkRPM,peak_whp_25,peak_whp_30,charge_tempF_at_7500_30psi,compressor_eff_pct_at_7500_30psi,pct_of_max_flow_30psi
EFR 7064,1779.7,1954.4,462.2,495.6,154.9,65.1,100.0
EFR 7163,1771.2,1957.4,464.0,516.9,150.6,70.6,96.7
EFR 7670,1752.5,1924.7,464.6,514.3,153.7,67.7,90.6
EFR 8374,1721.4,1888.7,469.6,520.6,146.2,75.0,73.4
Garrett G30-770,1756.0,1931.0,467.4,513.6,154.5,67.0,79.5
Garrett G35-900,1720.8,1899.0,469.5,520.8,146.1,75.2,70.7
